0 688.4333826653445 0.0 706.2657055943748, 1 607.1985621941891 99.83609202770552 713.1335206484654, 2 430.8027591799569 52.80843437820394 414.0265898400305, 3 373.23792592097885 114.06222570476766 4.523894767811157, 6 764.875225091813 -99.83509475833858 700.0222487369626, 7 752.8455706898569 -100.68711652941988 361.8740025898883, 8 914.6204932896907 0.3325264151113174 -24.913676311032077, 12 764.5839610843535 42.197232505182015 1033.2794636154558, 13 739.4636723253628 36.723399510395055 1274.931472259347, 14 672.8924655735931 -27.016343388133613 1330.7297844224295, 15 646.0143943295154 -24.754796386497755 1464.4078515152073, 17 858.9754727407171 -83.28497623460105 1251.2006968528067, 18 792.9574107768067 -384.506512861162 1104.3236568287684, 19 668.8076653389832 -448.9339671103493 1227.880355904858, 25 602.0168860822967 149.93882502886655 1211.5194463281173, 26 459.99105489740293 205.44447880050606 1019.9395593206577, 27 353.2743735617339 29.593378221661382 1166.3130575763082, 
0 685.3429252999359 0.0 709.4054930560346, 1 607.4302910301711 102.51792089849643 719.2376318183781, 2 424.6856238510962 56.554339470883065 413.8177401659642, 3 367.1368757016284 116.4231734394719 4.160160766685522, 6 758.4839677704139 -102.51692795482558 700.3664140667138, 7 753.4650045822624 -97.12711250136009 349.5640316308469, 8 916.3361367684136 7.780894799622445 -20.762423162460436, 12 763.7134745266284 40.30229726103765 1032.777229787434, 13 739.319298688165 35.210596201911315 1274.6144014651404, 14 672.9796145147428 -26.98388339178676 1331.5960394291928, 15 648.2671744388476 -25.48807783403757 1465.6474211060097, 17 852.2105976448148 -87.9071875932994 1250.8633607136644, 18 785.8633416688671 -392.4234433077944 1104.4154971108624, 19 656.69382845869 -455.856292320063 1227.537999032496, 25 602.0340629791717 151.34715912126518 1211.7497112704325, 26 460.31554716560487 210.54205076254254 1020.2031806010245, 27 347.6331053853037 35.79729476982281 1166.8299717104278, 
0 676.107930132782 0.0 709.7416047524371, 1 594.6825458876547 100.85577120979558 719.6651977944088, 2 411.574646642552 52.16273361233786 414.62312214481744, 3 347.73032901272546 112.66697359163342 5.309216343227604, 6 752.6898617454079 -100.85477862196231 700.5982124113256, 7 753.063419416358 -96.80899937688594 349.67258776456504, 8 916.6969247816949 9.331139504730544 -20.799863314360778, 12 756.9502528848952 39.937019619281834 1033.1925290284441, 13 733.2562762572157 34.038662175683 1274.809155261032, 14 666.3922035497698 -28.91863869447917 1331.390239894108, 15 640.1248114627881 -27.318595080575534 1465.4985793763394, 17 851.989969318836 -87.15864246211267 1245.3448229976066, 18 785.9488432056122 -390.19631139821115 1104.6502202731915, 19 646.5556334260281 -451.6921193357414 1228.206118282496, 25 601.385393746032 148.8877664738022 1205.6578716683134, 26 453.26788059431556 206.32110509991708 1020.4638683029484, 27 347.0895744905904 29.635229539448233 1160.7503930264893, 
0 669.9143625570714 0.0 710.0777164488393, 1 588.9811130026791 104.65059683305131 719.792511783812, 2 386.65938794401035 50.37768010189208 415.1545708643333, 3 327.8136548914742 102.33494203867082 1.9305487893448117, 6 745.8272085003407 -104.64959224693261 701.1724794411956, 7 746.5385033641621 -100.32254674336421 344.5343942134383, 8 915.9378903078245 5.900530082560124 -19.66561205961898, 12 748.0171523068732 35.172710408315055 1026.4805411715247, 13 726.1682043242384 29.6010821316747 1268.1402879124457, 14 658.3714944515181 -30.723316607279756 1326.3564553185704, 15 634.3674471094644 -28.358389928725096 1460.8096440105364, 17 838.1578329001285 -95.55094119162557 1226.9005465066684, 18 756.6218116172828 -398.3013391898569 1104.6285484579964, 19 640.0559163237367 -455.34947199218425 1228.2169935366796, 25 594.932404188852 147.8857556257742 1205.9245434919872, 26 447.16368128518036 207.382324868902 1020.8189429143926, 27 335.2171210403823 34.479609788912896 1167.2702324848315, 
0 651.1992233529382 0.0 709.7400231468253, 1 576.6261330899971 109.06275074847622 719.2136359364504, 2 380.95216164084815 61.20867100987054 407.2207638493111, 3 283.9970810967768 112.18144129528784 -0.6706651155043346, 6 720.8713269499043 -109.06178485004872 701.1101916516421, 7 729.5716380846096 -94.2768007173619 343.2509376545265, 8 916.6369133225545 8.916146567201451 -20.728397667903664, 12 726.0600044781316 30.548982836998405 1025.0613279485522, 13 706.9466065348449 26.39735055573719 1267.2817400336128, 14 641.1711534999126 -31.067991919754377 1329.3411200482906, 15 623.2211945077887 -28.910692288658453 1464.1909691412334, 17 812.8969801571925 -101.95097041642538 1214.3094163558594, 18 755.6022927223306 -402.8159583724082 1104.0931461056975, 19 631.8618118200818 -471.1174619394056 1221.3718533496522, 25 582.1710589516064 148.8800742536102 1199.220172895737, 26 447.70750912551273 217.36314364536224 1020.661178271105, 27 330.1945836810216 53.23026311709063 1167.9641822760016, 
0 632.8146397216661 0.0 709.5320215049768, 1 550.8937011516921 105.21282993969248 719.2159635162534, 2 342.65438706685336 51.19308202033106 401.89395816008255, 3 239.06136385811925 110.21385617653033 5.5337896522894425, 6 709.6834386949025 -105.21188625732026 700.661824942243, 7 716.7016728153312 -99.75375376145567 343.6542074013727, 8 915.9138586327381 5.753863247899119 -20.30249310599811, 12 712.2044553102143 35.475347925610905 1018.2084148182041, 13 696.2699771883715 32.063215377134796 1260.802365050588, 14 634.0042698559737 -27.63642193638475 1321.5935727374301, 15 617.4866315204453 -26.712848217754114 1454.991894043491, 17 809.0208242794915 -91.89117301135578 1214.3924828571796, 18 746.9622132874892 -390.1724512271428 1098.8913045127013, 19 622.231504536553 -463.88440252543694 1199.689240154084, 25 569.4462816651181 149.2055174945332 1198.7891367971863, 26 407.496370155234 203.0207144390116 1020.1252859209292, 27 303.0869066660775 26.737073796615334 1166.172675211536, 
0 620.3167921774203 0.0 709.2976435521474, 1 537.4669962236048 100.3867556694439 719.1757909816387, 2 329.77762184570474 45.55928962347696 402.47332158052245, 3 188.26669123468292 107.77724362169067 5.914843758407642, 6 698.3477698266605 -100.38587435501518 700.1925029587159, 7 711.2862139209697 -94.737827461559 336.8712466208515, 8 917.8128629237949 14.059168057438 -22.47968317529694, 12 699.2883976896488 37.557267916282164 1018.001591414554, 13 684.2683221299976 34.98010205625248 1260.622216181615, 14 625.8706353887202 -27.614643472115418 1321.418234543321, 15 611.5968940488099 -26.562714914874263 1454.493591825857, 17 804.1176888684196 -84.94687784421916 1214.6148713262273, 18 743.2219064137654 -380.76473277296157 1099.1080130390628, 19 601.4312000918939 -458.8350465054788 1194.4164038590504, 25 549.6487244634066 146.19509372741248 1192.1927973873217, 26 392.94833075792553 186.34312835588707 1025.875066870156, 27 282.77772751549514 4.783467150302357 1164.7908019038755, 
0 595.4950737062242 0.0 709.0964793171654, 1 518.8911851915447 104.78124301726845 718.7289222019418, 2 298.6414297400605 51.79349919575711 395.35460647104617, 3 144.3203551464517 121.55958853756152 21.988486672411227, 6 667.3918526657566 -104.78032031423376 700.270716178653, 7 703.6742003575648 -103.50715172514808 337.8817582097772, 8 914.5188436421846 -0.3472418233137091 -19.133418287526865, 12 680.4049299149443 30.342289269255353 990.1650974779999, 13 665.0476495721381 29.03886552199839 1232.8427486046257, 14 602.1526754264461 -29.281947933393496 1292.5910841884747, 15 585.1110137865167 -29.23928023586565 1424.0494137450628, 17 772.1150173145295 -93.76003334417861 1207.7059927590901, 18 719.6407364328339 -387.40422039290695 1098.657627215859, 19 588.2156179834778 -470.60093263599583 1193.4027600807437, 25 536.9729290471859 146.47462997841382 1179.2486271106666, 26 361.9431385340239 203.74148479865943 1032.5784819518954, 27 241.14035600839009 31.453541363629796 1166.169322218631, 
0 576.9143709790919 0.0 709.0553376042436, 1 492.6271898987002 97.84155674606436 719.0696686129332, 2 279.49362019924484 44.93491720227888 396.2080239298018, 3 99.63882466412187 121.86126165386324 34.46831026501013, 6 656.5028860871317 -97.84071345329856 699.7942609011512, 7 697.3248593743219 -104.61853017779204 337.94898166989185, 8 913.3207682003541 -5.117265650460951 -17.93357066599583, 12 652.3509661847384 26.293136977168693 982.7683412671387, 13 639.1855374687144 27.0279367247648 1225.5780981746072, 14 582.0342554861072 -33.116324802647654 1286.206996698289, 15 569.3475662948858 -29.920355701568113 1417.400014980544, 17 754.7721828351104 -89.6192322412623 1196.0660635427478, 18 693.656487929469 -377.50395937453266 1098.8696252041816, 19 557.2094555109518 -460.4792758769617 1194.0359129476196, 25 509.8460485393834 135.38914913734283 1172.1606403554356, 26 339.8479542996241 172.33560297657294 1051.1030146951277, 27 220.2955966686386 -0.5154495304744131 1164.374428559971, 
0 555.1483145498454 0.0 705.9743499054903, 1 480.35300634966563 103.27701297298638 712.4927508676808, 2 248.3684631799236 49.502273567359865 395.46763537619574, 3 67.53217943983076 120.28322728929166 34.84728066685079, 6 625.4571226750705 -103.27615568768927 700.0940782341144, 7 666.2020849223143 -112.28063428108959 333.1397513769999, 8 911.1019169474804 -14.450342999521325 -15.691380736426936, 12 635.6531315401483 22.491920782534464 975.6578437605782, 13 626.4201389487147 21.616204145670437 1218.5767298788355, 14 564.8969294917343 -34.33529246238164 1279.466297401819, 15 550.5466886631413 -33.73863971444236 1409.5371719458433, 17 729.0196678449915 -97.231744217975 1177.4464055766223, 18 687.7591056135599 -378.22283257075264 1093.1612921245396, 19 556.1513185718971 -465.3364338038972 1182.8349325060688, 25 490.6338895268104 136.60839961745043 1171.9805110712346, 26 296.1470095340565 188.82209331859863 1064.7064455739517, 27 184.20990465151257 23.288855531970512 1165.8069597419014, 
